record,parcel,r_account,city,bid,error
1,1024-12-702-1015,R127021015,CHOCTAW,470,Could not find input field
2,1026-19-795-2005,R197952005,CHOCTAW,445,Could not find input field
3,1026-19-795-2070,R197952070,CHOCTAW,585,Could not find input field
4,1070-12-328-1250,R123281250,OKC,790,Could not find input field
5,1101-14-654-0400,R146540400,OKC,410,Could not find input field
6,1215-19-466-9125,R194669125,CHOCTAW,525,Could not find input field
7,1246-19-689-2500,R196892500,CHOCTAW,400,Could not find input field
8,1246-19-689-5700,R196895700,CHOCTAW,405,Could not find input field
9,1246-19-689-6060,R196896060,CHOCTAW,410,Could not find input field
10,1275-12-552-1100,R125521100,OKC,425,Could not find input field
11,1335-14-431-6000,R144316000,OKC,835,Could not find input field
12,1336-14-431-3060,R144313060,OKC,555,Could not find input field
13,1408-15-018-2020,R150182020,MIDWEST CITY,460,Could not find input field
14,1414-15-020-4270,R150204270,MIDWEST CITY,445,Could not find input field
15,1420-15-083-6095,R150836095,DEL CITY,630,Could not find input field
16,1422-15-094-2145,R150942145,DEL CITY,380,Could not find input field
17,1428-15-127-1879,R151271879,DEL CITY,290,Could not find input field
18,1428-15-127-6601,R151276601,DEL CITY,885,Could not find input field
19,1428-15-394-0200,R153940200,DEL CITY,410,Could not find input field
20,1430-15-391-8195,R153918195,DEL CITY,455,Could not find input field
21,1431-15-345-5225,R153455225,DEL CITY,430,Could not find input field
22,1434-15-019-2320,R150192320,MIDWEST CITY,440,Could not find input field
23,1470-15-316-3000,R153163000,DEL CITY,520,Could not find input field
24,1471-15-320-3735,R153203735,DEL CITY,280,Could not find input field
25,1475-11-530-1025,R115301025,OKC,350,Could not find input field
26,1476-11-328-0850,R113280850,OKC,440,Could not find input field
27,1476-13-166-2080,R131662080,OKC,390,Could not find input field
28,1526-12-796-1470,R127961470,OKC,430,Could not find input field
29,1527-12-973-2560,R129732560,OKC,1220,Could not find input field
30,1603-14-303-5350,R143035350,OKC,450,Could not find input field
31,1619-13-178-2985,R131782985,OKC,490,Could not find input field
32,1622-10-314-7275,R103147275,OKC,505,Could not find input field
33,1630-10-842-5285,R108425285,OKC,615,Could not find input field
34,1633-09-651-5585,R096515585,OKC,535,Could not find input field
35,1633-09-679-8280,R096798280,OKC,510,Could not find input field
36,1637-09-735-3490,R097353490,OKC,435,Could not find input field
37,1639-09-398-0340,R093980340,OKC,535,Could not find input field
38,1640-09-637-2000,R096372000,OKC,320,Could not find input field
39,1640-09-833-3205,R098333205,OKC,250,Could not find input field
40,1640-09-833-3250,R098333250,OKC,290,Could not find input field
41,1640-09-833-9350,R098339350,OKC,440,Could not find input field
42,1644-14-994-1355,R149941355,OKC,290,Could not find input field
43,1658-07-358-2850,R073582850,OKC,505,Could not find input field
44,1658-07-358-8200,R073588200,OKC,330,Could not find input field
45,1659-09-455-2410,R094552410,OKC,255,Could not find input field
46,1659-09-455-2420,R094552420,OKC,250,Could not find input field
47,1665-10-402-7600,R104027600,OKC,410,Could not find input field
48,1665-10-402-8400,R104028400,OKC,265,Could not find input field
49,1665-10-402-8900,R104028900,OKC,355,Could not find input field
50,1665-10-556-5125,R105565125,OKC,260,Could not find input field
51,1683-13-206-9395,R132069395,OKC,755,Could not find input field
52,1687-08-634-4960,R086344960,OKC,585,Could not find input field
53,1688-08-598-6000,R085986000,OKC,485,Could not find input field
54,1705-08-603-1310,R086031310,OKC,245,Could not find input field
55,1707-10-535-2810,R105352810,OKC,925,Could not find input field
56,1709-10-974-1760,R109741760,OKC,485,Could not find input field
57,1709-10-985-3805,R109853805,OKC,510,Could not find input field
58,1713-07-446-0403,R074460403,OKC,400,Could not find input field
59,1713-07-446-6200,R074466200,OKC,240,Could not find input field
60,1713-20-926-1110,R209261110,OKC,525,Could not find input field
61,1719-11-337-5010,R113375010,OKC,245,Could not find input field
62,1723-14-839-2035,R148392035,OKC,380,Could not find input field
63,1802-07-169-9245,R071699245,OKC,17840,Could not find input field
64,1824-14-927-3360,R149273360,OKC,620,Could not find input field
65,1845-08-673-0460,R086730460,OKC,485,Could not find input field
66,1845-08-673-1316,R086731316,OKC,535,Could not find input field
67,1845-08-673-1318,R086731318,OKC,350,Could not find input field
68,1845-08-673-2140,R086732140,OKC,425,Could not find input field
69,1845-08-673-4580,R086734580,OKC,445,Could not find input field
70,1848-08-842-1805,R088421805,OKC,240,Could not find input field
71,1870-12-066-2595,R120662595,OKC,345,Could not find input field
72,2101-19-808-9100,R198089100,HARRAH,480,Could not find input field
73,2104-19-826-1075,R198261075,HARRAH,440,Could not find input field
